,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
6811,9325def8e85a18ee227fea4b5c65c5e0,,2024-05-15 04:04:47,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,11.9596526,44.706501, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
6821,8e96b4608919a4a6b59abed0e9228384,,2024-06-25 10:00:47,202407_My-Insurer Private Limited,Misc,recurring,1137.57,6.0822076,21.045045, myinsurer  ,['myinsurer'],myinsurer
6842,5678f9023d44c7ab9870fd556fce9d48,,2024-04-26 04:00:27,63405_Seah Yoke Leng Janice,Misc,recurring,2275.89838,28.9246132,59.1763914, seah yoke leng janice,"['seah', 'yoke', 'leng', 'janice']",seah yoke leng janice
6846,1682e0916c5fb306ebcbb48d1e60e3cd,,2024-05-16 10:01:00,133366_Life Mastery Coaching Singapore LLP,Misc,recurring,1592.598,8.4104342,29.463063, life mastery coaching  ,"['life', 'mastery', 'coaching']",life mastery coaching
6858,90886864995b13d47dcc9291a2a29670,,2024-05-20 07:00:59,201053_ERA Realty Network Pte Ltd,Misc,recurring,2893.2197,15.3875302,53.5264604, era realty network  ,"['era', 'realty', 'network']",era realty network
6877,199c3d632cf6c61171c563fad7f322fc,,2024-04-09 15:01:04,173963_HOCK CHUAN HENG CAR RENTAL & TRADING,Misc,recurring,910.056,4.7474588,16.836036, hock chuan heng car rental  trading,"['hock', 'chuan', 'heng', 'car', 'rental', 'trading']",hock chuan heng car rental trading
6881,60202a2c9deae62ffddf52d91d30a635,,2024-04-17 04:02:00,47912_The American Club ,Misc,recurring,1137.57,3.1624446,18.20112, the american club ,"['american', 'club']",american club
6887,422913aef2bf6697e50cc0412f4d3c15,,2024-07-29 04:23:14,202558_Maplebear Learning Ladder Pte Ltd,Misc,recurring,1236.1594,5.9987858,22.8727408, maplebear learning ladder  ,"['maplebear', 'learning', 'ladder']",maplebear learning ladder
6906,6b983cefb75e2e4034a4122bfb57c45c,,2024-07-17 04:11:47,223816_NATION COOL AIRCONDITIONING & ENGINEERING PTE. LTD. f.k.a WEIKEN AIR-CONDITIONING & ENGINEERING (S) PTE. LTD.,Misc,recurring,2654.33,14.371301,49.105105, nation cool airconditioning  engineering   fka weiken airconditioning  engineering s  ,"['nation', 'cool', 'airconditioning', 'engineering', 'fka', 'weiken', 'airconditioning', 'engineering']",nation cool airconditioning engineering fka weiken airconditioning engineering
6912,4d2f65f2d76370db489a15bfb2e72c4b,,2024-05-13 15:01:24,198001_READ Architecture,Misc,recurring,5545.65375,29.6071552,102.5936464, read architecture,"['read', 'architecture']",read architecture
6983,3dc57f51e90905e61ce17e9e6fc6c528,,2024-08-02 04:34:02,202417_Propnex Realty Pte Ltd,Misc,recurring,4257.16613,23.1230062,78.757763, propnex realty  ,"['propnex', 'realty']",propnex realty
7011,60f94304d61ddf36e467263aa86bb8ba,,2024-05-28 04:01:18,57205_ST AUTO PTE LTD,Misc,recurring,1962.68744,24.9279506,51.0313902, st auto  ,"['st', 'auto']",st auto
7041,fba12b901a55637f34c3403e7009c4bf,,2024-06-03 15:02:21,207782_Bliss Helper Pte Ltd,Misc,recurring,1842.408372,9.934778,34.0815972, bliss helper  ,"['bliss', 'helper']",bliss helper
7047,8eb342c4853dc317b1bf0d58b44c7ec2,,2024-04-26 03:54:06,190998_My-Insurer Private Limited,Misc,recurring,1137.57,5.9684506,21.045045, myinsurer  ,['myinsurer'],myinsurer
7166,f1f6a403544fd00939da5d8ec633117d,,2024-08-20 05:07:16,139376_PROPNEX REALTY PTE LTD,Misc,recurring,1983.92208,10.7159094,36.705592, propnex realty  ,"['propnex', 'realty']",propnex realty
7170,c1d1bafce06303b27f9e5c9cd8109edc,,2024-08-12 04:08:56,173963_HOCK CHUAN HENG CAR RENTAL & TRADING,Misc,recurring,910.056,4.8460482,16.836036, hock chuan heng car rental  trading,"['hock', 'chuan', 'heng', 'car', 'rental', 'trading']",hock chuan heng car rental trading
7201,f4026174a46da26186ff9aec64ccffed,,2023-11-27 15:00:42,148157_ClearHorizon Pte Ltd,Misc,recurring,22751.4,-68.6864766,511.9065, clearhorizon  ,['clearhorizon'],clearhorizon
7205,dccdaae0b277989b5be365e04f8cd8e7,,2024-07-30 04:01:05,63405_Seah Yoke Leng Janice,Misc,recurring,2275.89838,29.159711,59.1763914, seah yoke leng janice,"['seah', 'yoke', 'leng', 'janice']",seah yoke leng janice
7215,9a6607539062ff65c7b5289f113b92f1,,2024-07-31 04:12:51,225534_ERA Realty Network Pte Ltd,Misc,recurring,4240.5272728,23.0320006,78.4468272, era realty network  ,"['era', 'realty', 'network']",era realty network
7217,d61988ea139340cc6a1a7c5eb5e72f1d,,2024-07-18 04:04:18,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,34.4607872,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
7225,9be7ea67e75adae94318dbb06247afb7,,2024-06-20 15:01:14,212911_NTUC Health Co-operative Ltd,Misc,recurring,1065.7438302,5.6954338,19.71788, ntuc health cooperative ,"['ntuc', 'health', 'cooperative']",ntuc health cooperative
7228,83ce9b80ab07398ef803aa20c0e3848f,,2024-07-08 10:02:06,220495_Season Bus Services Co Pte Ltd,Misc,recurring,1332.7997634,7.1515234,24.6549338, season bus services co  ,"['season', 'bus', 'services', 'co']",season bus services co
7231,8f040bb2af459eb05386e0e9e94ff74e,,2024-10-01 04:28:23,232126_Mercedes-Benz Fleet Management Singapore Pte Lrd,Misc,recurring,2768.087,7.7506436,71.970262, mercedesbenz fleet management   lrd,"['mercedesbenz', 'fleet', 'management', 'lrd']",mercedesbenz fleet management lrd
7246,200a56626d4fe997697d0ee53142b3eb,,2024-01-30 04:05:58,147656_CYCLE & CARRIAGE LEASING PTE. LTD.,Misc,recurring,1895.95,-1.0313968,42.658875, cycle  carriage leasing  ,"['cycle', 'carriage', 'leasing']",cycle carriage leasing
7247,e63098c3b01b0c2bcb4150eeab7247cc,,2024-03-04 15:01:35,61353_THE TANGLIN CLUB,Misc,recurring,1041.028226,5.4451684,19.2552682, the tanglin club,"['tanglin', 'club']",tanglin club
7253,9df0e035f3940226bc77dbcc0b25971c,,2024-07-05 10:02:27,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,3265.58428,17.708173,60.4125508, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
